course_name,course_domain,course_description,course_level,platform,organisation,course_rating
Natural Language Processing Specialization,NLP,"Learn cutting-edge NLP with deep learning. Covers classification, vector spaces, probabilistic models, sequence models, and attention.",Advanced,Coursera,DeepLearning.AI,4.8
Natural Language Processing with Python,NLP,"Learn NLP using Python's NLTK library. Covers text classification, sentiment analysis, named entity recognition, and topic modeling.",Intermediate,YouTube (freeCodeCamp),freeCodeCamp,4.6
NLP – Natural Language Processing with Python,NLP,"Complete NLP course using Python. Covers NLTK, spaCy, text preprocessing, sentiment analysis, and machine translation.",Intermediate,Udemy,Jose Portilla,4.5
Hugging Face NLP Course,NLP,"Learn to use Transformers for NLP tasks. Covers BERT, GPT, tokenization, fine-tuning, and building NLP pipelines with Hugging Face.",Intermediate,YouTube (Hugging Face),Hugging Face,4.8
AI For Everyone,Artificial Intelligence,"Non-technical introduction to AI. Learn what AI is, how it's being applied in companies, and how to navigate AI in society.",Beginner,Coursera,DeepLearning.AI,4.8
Artificial Intelligence A–Z 2024,Artificial Intelligence,"Build AI including reinforcement learning, deep Q-learning, and game-playing AI from scratch using Python and OpenAI Gym.",Intermediate,Udemy,Hadelin de Ponteves,4.4
AI For Beginners – Full Course,Artificial Intelligence,"Comprehensive beginner AI course covering AI history, machine learning, neural networks, computer vision, and ethics.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.6
Elements of AI,Artificial Intelligence,"A free online course covering AI basics. Covers what AI is, machine learning, neural networks, and societal implications of AI.",Beginner,University of Helsinki,University of Helsinki,4.7
CS50's Introduction to Artificial Intelligence with Python,Artificial Intelligence,"Explore concepts in AI using Python. Covers search, knowledge representation, uncertainty, optimization, learning, and neural networks.",Intermediate,edX,Harvard University,4.9
The Complete SQL Bootcamp,Database,"Become an expert at SQL. Covers SELECT, WHERE, JOINs, aggregations, subqueries, views, indexes, and advanced query optimization.",Beginner,Udemy,Jose Portilla,4.7
SQL for Data Science,Database,"Learn SQL for data science applications. Covers querying, filtering, joining, aggregating, and analyzing data in relational databases.",Beginner,Coursera,UC Davis,4.5
Databases and SQL for Data Science with Python,Database,"Learn SQL and relational databases for data science. Covers DDL, DML, views, stored procedures, and connecting SQL with Python.",Beginner,Coursera,IBM,4.5
SQL Tutorial – Full Database Course for Beginners,Database,"Complete SQL database course. Learn SQL from scratch including tables, queries, joins, and database design.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.8
MongoDB – The Complete Developer's Guide,Database,"Learn MongoDB from scratch. Covers CRUD operations, schema design, aggregation, indexing, transactions, and Atlas.",Intermediate,Udemy,Maximilian Schwarzmüller,4.7
NoSQL Database Systems,Database,"Introduction to NoSQL databases. Covers document, key-value, column-family, and graph databases with hands-on examples.",Intermediate,edX,MongoDB University,4.5
Database Design and Basic SQL in PostgreSQL,Database,"Learn relational database design and SQL using PostgreSQL. Covers normalization, foreign keys, indexes, and advanced SQL.",Beginner,Coursera,University of Michigan,4.6
AWS Certified Solutions Architect – Associate,Cloud Computing,"Prepare for the AWS Solutions Architect exam. Covers EC2, S3, RDS, VPC, IAM, Lambda, and cloud architecture best practices.",Intermediate,Udemy,Stephane Maarek,4.7
Google Cloud Professional Data Engineer,Cloud Computing,"Prepare for GCP Data Engineer exam. Covers BigQuery, Dataflow, Pub/Sub, Cloud Storage, and ML on GCP.",Advanced,Coursera,Google Cloud,4.6
Microsoft Azure Fundamentals AZ-900,Cloud Computing,"Introduction to cloud concepts and Microsoft Azure. Covers core Azure services, pricing, SLAs, and the Azure lifecycle.",Beginner,Udemy,Scott Duffy,4.6
Cloud Computing Basics (Cloud 101),Cloud Computing,"Introduction to cloud computing concepts. Covers service models (IaaS, PaaS, SaaS), deployment models, and major cloud providers.",Beginner,Coursera,LearnQuest,4.4
Introduction to Cloud Computing,Cloud Computing,"Overview of cloud computing technologies. Covers virtualization, cloud storage, cloud security, and cloud-native applications.",Beginner,edX,IBM,4.4
DevOps Beginners to Advanced with Projects,DevOps,"Comprehensive DevOps course. Covers Linux, Git, Maven, Jenkins, Docker, Kubernetes, Ansible, Terraform, and AWS.",Beginner,Udemy,Imran Teli,4.6
Docker and Kubernetes: The Complete Guide,DevOps,"Learn Docker and Kubernetes from scratch. Covers containers, images, Docker Compose, Kubernetes clusters, and CI/CD pipelines.",Intermediate,Udemy,Stephen Grider,4.7
"CI/CD with Jenkins, Docker, and GitHub Actions",DevOps,"Build continuous integration and deployment pipelines using Jenkins, Docker, and GitHub Actions with real projects.",Intermediate,Udemy,Bogdan Stashchuk,4.5
Introduction to DevOps,DevOps,"Learn foundational DevOps concepts and practices. Covers version control, CI/CD, infrastructure as code, and monitoring.",Beginner,Coursera,IBM,4.5
Site Reliability Engineering: Measuring and Managing Reliability,DevOps,"Google's SRE practices. Covers service level objectives, error budgets, monitoring, incident management, and reliability engineering.",Advanced,Coursera,Google,4.7
IBM Cybersecurity Analyst Professional Certificate,Cybersecurity,"Launch a career in cybersecurity. Covers network security, database vulnerabilities, cyber attack analysis, and compliance.",Beginner,Coursera,IBM,4.6
The Complete Cyber Security Course,Cybersecurity,"Become a cybersecurity specialist. Covers network security, operating system security, hackers, and security best practices.",Beginner,Udemy,Nathan House,4.5
Ethical Hacking – From Beginner to Advanced,Cybersecurity,"Learn ethical hacking and penetration testing. Covers reconnaissance, scanning, exploitation, post-exploitation, and reporting.",Intermediate,Udemy,Zaid Sabih,4.6
Cybersecurity for Everyone,Cybersecurity,"Introduction to cybersecurity for non-technical people. Covers threats, authentication, privacy, network security, and digital safety.",Beginner,Coursera,University of Maryland,4.5
Network Security and Database Vulnerabilities,Cybersecurity,"Learn network security concepts and database vulnerability assessment. Covers firewalls, VPNs, intrusion detection, and SQL injection.",Intermediate,Coursera,IBM,4.4
Blockchain Basics,Blockchain,"Introduction to blockchain technology. Covers distributed ledger, consensus mechanisms, smart contracts, and blockchain use cases.",Beginner,Coursera,University at Buffalo,4.5
Ethereum and Solidity: The Complete Developer's Guide,Blockchain,"Learn to build smart contracts and DApps on Ethereum. Covers Solidity, Truffle, MetaMask, and Web3.js.",Intermediate,Udemy,Stephen Grider,4.6
Blockchain Developer Bootcamp,Blockchain,"Comprehensive blockchain development course. Covers Ethereum, Solidity, smart contract security, DeFi, and NFT development.",Intermediate,Udemy,Dapp University,4.4
The Complete Networking Fundamentals Course,Networking,"Learn networking from scratch. Covers OSI model, TCP/IP, routing, switching, VLANs, and network troubleshooting.",Beginner,Udemy,David Bombal,4.7
Computer Networking – Full Course,Networking,"Comprehensive networking course based on Stanford curriculum. Covers protocols, routing, transport layer, security, and wireless networks.",Intermediate,YouTube (freeCodeCamp),freeCodeCamp,4.7
Cisco CCNA 200-301 – Complete Course,Networking,"Prepare for Cisco CCNA certification. Covers routing, switching, IP connectivity, services, security, and automation.",Intermediate,Udemy,Neil Anderson,4.8
Introduction to Networking,Networking,"Learn networking fundamentals. Covers the TCP/IP protocol stack, IP addressing, routing, and network design.",Beginner,edX,Cisco,4.5
Linux Command Line Basics,Operating Systems,"Learn to use the Linux command line. Covers file system navigation, file manipulation, permissions, processes, and shell scripting.",Beginner,Udemy,Jason Cannon,4.6
Linux Administration Bootcamp,Operating Systems,"Learn Linux system administration. Covers installation, file system, networking, user management, scripting, and security.",Intermediate,Udemy,Jason Cannon,4.5
Introduction to Linux,Operating Systems,"Learn the Linux operating system from the Linux Foundation. Covers installation, GUI, command line, and system administration basics.",Beginner,edX,Linux Foundation,4.6
Windows Server Administration Fundamentals,Operating Systems,"Learn Windows Server administration. Covers Active Directory, Group Policy, DNS, DHCP, and server management.",Beginner,LinkedIn Learning,LinkedIn,4.4
Algorithms Specialization,Computer Science,"Learn algorithmic thinking. Covers divide and conquer, sorting, graph algorithms, dynamic programming, and NP-completeness.",Advanced,Coursera,Stanford University,4.7
Data Structures and Algorithms in Python,Computer Science,"Learn data structures and algorithms using Python. Covers arrays, linked lists, stacks, queues, trees, graphs, and complexity analysis.",Intermediate,Udemy,Jose Portilla,4.5
Algorithms and Data Structures – Full Course,Computer Science,"Complete course on data structures and algorithms. Covers sorting, recursion, dynamic programming, and graph algorithms.",Intermediate,YouTube (freeCodeCamp),freeCodeCamp,4.7
Introduction to Algorithms,Computer Science,"MIT's classic algorithms course. Covers sorting, hash tables, heaps, BSTs, red-black trees, dynamic programming, and graph algorithms.",Advanced,edX,MIT,4.8
The Algorithm Design Manual,Computer Science,"Learn algorithm design techniques. Covers problem solving, data structures, sorting, dynamic programming, and graph traversal.",Advanced,LinkedIn Learning,LinkedIn,4.5
Mathematics for Machine Learning,Mathematics,"Learn the mathematical foundations of machine learning. Covers linear algebra, multivariate calculus, PCA, and regression.",Intermediate,Coursera,Imperial College London,4.5
Statistics and Probability,Mathematics,"Comprehensive statistics and probability course. Covers descriptive statistics, probability distributions, hypothesis testing, and regression.",Beginner,Khan Academy,Khan Academy,4.8
Linear Algebra – MIT OpenCourseWare,Mathematics,"Complete linear algebra course. Covers vectors, matrices, determinants, eigenvalues, eigenvectors, and applications.",Intermediate,YouTube (MIT OpenCourseWare),MIT,4.9
Probability and Statistics,Mathematics,"Introduction to probability and statistics. Covers probability theory, random variables, distributions, confidence intervals, and hypothesis tests.",Beginner,edX,MIT,4.7
Calculus: Single Variable,Mathematics,"Learn single-variable calculus. Covers limits, derivatives, integrals, sequences, and series with applications.",Intermediate,Coursera,University of Pennsylvania,4.7
Applied Statistics for Data Science,Mathematics,"Applied statistics for data scientists. Covers regression, ANOVA, Bayesian statistics, bootstrap, and simulation methods.",Intermediate,edX,MIT,4.6
Google Digital Marketing & E-commerce Certificate,Digital Marketing,"Launch a career in digital marketing and e-commerce. Covers SEO, email marketing, SEM, display, social media, and analytics.",Beginner,Coursera,Google,4.7
The Complete Digital Marketing Course,Digital Marketing,"Master digital marketing. Covers SEO, YouTube marketing, Facebook Ads, Google Ads, email marketing, and Copywriting.",Beginner,Udemy,Rob Percival,4.4
Social Media Marketing,Digital Marketing,"Learn social media marketing strategy. Covers content creation, Instagram, Facebook, Twitter, LinkedIn, and analytics.",Beginner,edX,Northwestern University,4.5
Content Marketing Fundamentals,Digital Marketing,"Learn content marketing strategy and execution. Covers blogging, video marketing, email campaigns, and measuring content ROI.",Beginner,LinkedIn Learning,LinkedIn,4.4
SEO Training Course,Digital Marketing,"Learn search engine optimization from scratch. Covers keyword research, on-page SEO, link building, technical SEO, and Google analytics.",Beginner,Udemy,Brad Hussey,4.3
Business Foundations Specialization,Business,"Learn core business disciplines. Covers marketing, accounting, operations, and corporate finance.",Beginner,Coursera,University of Pennsylvania (Wharton),4.7
The Complete MBA in a Box,Business,"Business school education in one course. Covers accounting, finance, entrepreneurship, management, and leadership.",Intermediate,Udemy,Cane Bay Partners,4.4
Entrepreneurship: Launching an Innovative Business,Business,"Learn to launch a startup. Covers ideation, market validation, lean startup methods, and scaling your business.",Beginner,Coursera,University of Maryland,4.5
Project Management Professional (PMP) Exam Prep,Business,"Comprehensive PMP exam preparation. Covers project integration, scope, time, cost, quality, risk, and stakeholder management.",Intermediate,Udemy,Joseph Phillips,4.6
Strategic Management,Business,"Learn strategic business management. Covers competitive analysis, corporate strategy, innovation, and global strategy.",Intermediate,Coursera,Copenhagen Business School,4.5
Leading Teams,Business,"Learn to lead and manage teams effectively. Covers motivation, communication, conflict resolution, and team dynamics.",Beginner,Coursera,University of Michigan,4.6
Financial Markets,Finance,"Yale's finance course taught by Robert Shiller. Covers risk management, insurance, behavioral finance, and the role of financial institutions.",Beginner,Coursera,Yale University,4.8
Investment Management with Python and Machine Learning,Finance,"Learn investment management using Python. Covers portfolio theory, factor models, machine learning for finance, and robo-advising.",Advanced,Coursera,EDHEC Business School,4.5
Corporate Finance Fundamentals,Finance,"Learn corporate finance principles. Covers financial statements, valuation, capital budgeting, cost of capital, and financial risk.",Beginner,edX,Columbia University,4.6
Financial Accounting,Finance,"Introduction to financial accounting. Covers balance sheets, income statements, cash flow, and financial ratio analysis.",Beginner,Coursera,University of Pennsylvania (Wharton),4.7
Excel Skills for Business Finance,Finance,"Learn Excel for financial analysis. Covers formulas, PivotTables, financial modeling, charts, and data validation.",Beginner,Coursera,Macquarie University,4.8
Google UX Design Professional Certificate,UI/UX Design,"Launch a career in UX design. Covers user research, wireframing, prototyping, usability testing, and building a portfolio.",Beginner,Coursera,Google,4.8
UI / UX Design Specialization,UI/UX Design,"Learn UI and UX design principles. Covers research, wireframing, visual design, prototyping, and design systems.",Intermediate,Coursera,California Institute of the Arts,4.5
"The Complete App Design Course – UX, UI and Design Thinking",UI/UX Design,"Learn app design from research to mockups. Covers design thinking, UX principles, Figma, prototyping, and user testing.",Beginner,Udemy,Angela Yu,4.7
Figma – UI/UX Design Essential Training,UI/UX Design,"Master Figma for UI/UX design. Covers components, auto layout, prototyping, design systems, and handoff to developers.",Beginner,LinkedIn Learning,LinkedIn,4.5
Graphic Design Specialization,Graphic Design,"Learn graphic design foundations. Covers typography, color, imagery, and visual composition with practical projects.",Beginner,Coursera,California Institute of the Arts,4.6
Adobe Photoshop – Beginner to Advanced,Graphic Design,"Complete Photoshop course. Covers layers, masks, selection tools, retouching, photo manipulation, and design projects.",Beginner,Udemy,Daniel Scott,4.7
Adobe Illustrator – Beginner to Advanced,Graphic Design,"Master Adobe Illustrator. Covers vector graphics, Pen tool, typography, illustration, and logo design.",Beginner,Udemy,Daniel Scott,4.7
Canva Design for Beginners,Graphic Design,"Learn Canva for graphic design. Covers templates, brand kits, social media graphics, presentations, and print design.",Beginner,YouTube (Canva),Canva,4.5
Video Editing with DaVinci Resolve,Video Production,"Learn professional video editing using DaVinci Resolve. Covers editing workflow, color grading, audio mixing, and visual effects.",Beginner,YouTube (freeCodeCamp),freeCodeCamp,4.6
Complete Video Production Bootcamp,Video Production,"Learn video production from pre-production to post. Covers scripting, filming, lighting, sound design, and editing.",Beginner,Udemy,Phil Ebiner,4.5
Adobe Premiere Pro – Video Editing Masterclass,Video Production,"Master Adobe Premiere Pro. Covers cutting, transitions, color correction, audio editing, and export settings.",Beginner,Udemy,Phil Ebiner,4.6
Photography Masterclass: A Complete Guide to Photography,Photography,"Learn photography from basics to advanced. Covers exposure, composition, lighting, Lightroom editing, and building a portfolio.",Beginner,Udemy,Phil Ebiner,4.6
Photography Basics and Beyond,Photography,"Fundamentals of photography. Covers camera settings, exposure triangle, composition, lighting, and genre-specific techniques.",Beginner,Coursera,Michigan State University,4.6
iPhone Photography Masterclass,Photography,"Learn professional photography using your iPhone. Covers composition, lighting, portrait mode, editing with Lightroom Mobile, and social media strategy.",Beginner,Udemy,Marc Gallo,4.5
Music Theory Comprehensive Complete,Music,"Complete music theory course. Covers notes, intervals, scales, chords, ear training, form, and composition.",Beginner,Udemy,Jason Allen,4.7
Introduction to Classical Music,Music,"Explore Western classical music from the Baroque to the modern era. Covers composers, forms, and listening skills.",Beginner,Coursera,Yale University,4.7
Learn to Play Guitar – Beginner Course,Music,"Beginner guitar course. Covers basic chords, strumming patterns, reading tabs, and playing songs.",Beginner,YouTube (JustinGuitar),JustinGuitar,4.8
Music Production in Logic Pro X,Music,"Learn music production using Logic Pro X. Covers recording, MIDI programming, mixing, mastering, and sound design.",Intermediate,Udemy,Noah Pred,4.5
Spanish Language Learning – Complete Course,Language Learning,"Learn Spanish from beginner to advanced. Covers pronunciation, grammar, vocabulary, reading, writing, and conversational Spanish.",Beginner,Udemy,Language Transfer,4.5
Mandarin Chinese for Beginners,Language Learning,"Learn Mandarin Chinese basics. Covers Pinyin, tones, basic vocabulary, grammar, and everyday conversations.",Beginner,Coursera,Shanghai International Studies University,4.5
English Grammar in Use,Language Learning,"Comprehensive English grammar course. Covers tenses, modal verbs, conditionals, passive voice, and reported speech.",Beginner,Udemy,Cambridge University Press,4.6
Learning How to Learn,Language Learning,"Powerful mental tools to help you master tough subjects. Covers chunking, procrastination, memory techniques, and sleep.",Beginner,Coursera,University of California San Diego,4.8
French Language Course A1–A2,Language Learning,"Beginner French course. Covers pronunciation, vocabulary, basic grammar, and everyday conversations for French beginners.",Beginner,edX,Institut Français,4.4
Science of Exercise,Health & Fitness,"Understand the science behind exercise. Covers physiology, metabolism, fitness, nutrition, and training principles.",Beginner,Coursera,University of Colorado Boulder,4.7
Yoga for Beginners – 30-Day Challenge,Health & Fitness,"30-day beginner yoga course. Covers basic poses, breathing techniques, flexibility, strength, and mindfulness.",Beginner,YouTube (Yoga with Adriene),Yoga with Adriene,4.8
